tarama_tarihi,kod,sektor,pd_b_tl,nk_ttm_m,nk_q4_m,favok_m,son_fk,ort_fk_3y,fk_iskonto_pct,son_pddd,ort_pddd_3y,pddd_iskonto_pct,skor,sinyal,katalist_tier,katalist_sayi,katalist_ozet,duzeltilmis_skor,duzeltme_notu
2026-03-19,ESCOM,Bilişim ve Yazılım,3.8,1151.0,1144.0,1651.0,3.26,7.67,57.5,1.13,2.37,52.3,70,🟡 FORWARD UCUZ,,,,60,Standart Katalistsiz: 70×0.85=60
2026-03-19,RTALB,İlaç ve Sağlık,1.9,881.0,465.0,14.0,2.14,11.35,81.1,0.64,1.17,45.3,68,🟠 TAVSİYE,,,,58,Standart Katalistsiz: 68×0.85=58
2026-03-19,FORTE,Bilişim ve Yazılım,7.1,2329.0,449.0,816.0,2.79,3.05,8.5,2.64,6.86,61.5,58,🟠 TAVSİYE,T1,2,2 yeni iş ilişkisi (Şub 2026),58,Standart+Katalist ✅
2026-03-19,AKFIS,İnşaat,25.3,1685.0,1251.0,290.0,14.68,23.79,38.3,0.78,0.55,-41.8,56,🟠 TAVSİYE,T1,1,Haydarpaşa Sağlık Kampüsü yeniden yapım ihalesi,56,Standart+Katalist ✅
2026-03-19,ORGE,Enerji Teknolojileri,5.4,593.0,239.0,1726.0,9.1,11.43,20.4,1.36,3.26,58.3,56,🟠 TAVSİYE,T1,3,Bayburt-Gümüşhane Havalimanı + Altunizade Metro + THY İstanbul Hub,56,Standart+Katalist ✅
2026-03-19,FONET,Bilişim ve Yazılım,4.4,222.0,112.0,378.0,19.74,49.22,59.9,2.6,23.04,88.7,53,🟠 TAVSİYE,T1,5,Şanlıurfa+Sivas Sağlık ihaleleri + Amerika sözleşmesi,53,Standart+Katalist ✅
2026-03-19,A1CAP,Aracı Kurum,10.6,3824.0,2380.0,8703.0,2.81,13.15,78.6,1.17,1.62,27.8,60,🟠 TAVSİYE,,,,51,Standart Katalistsiz: 60×0.85=51
2026-03-19,CATES,Enerji Üretim ve Dağıtım,8.1,1787.0,1855.0,763.0,4.17,12.91,67.7,0.58,0.63,7.9,60,🟠 TAVSİYE,,,,51,Standart Katalistsiz: 60×0.85=51
2026-03-19,ELITE,Gıda ve İçecek,3.7,247.0,11.0,529.0,14.86,20.89,28.9,1.63,5.39,69.8,51,🟠 TAVSİYE,T1,3,KeHE Distributors ABD ihracat sözleşmesi (3 ayrı haber),51,Standart+Katalist ✅
2026-03-19,MERIT,Turizm,5.4,754.0,322.0,187.0,7.29,32.48,77.6,0.32,0.82,61.0,58,🟠 TAVSİYE,,,,49,Standart Katalistsiz: 58×0.85=49
2026-03-19,KRSTL,Gıda ve İçecek,1.7,251.0,13.0,452.0,6.7,19.1,64.9,0.97,2.47,60.7,58,🟠 TAVSİYE,,,,49,Standart Katalistsiz: 58×0.85=49
2026-03-19,PLTUR,Servis Taşımacılığı ve Araç Kiralama,5.9,709.0,483.0,2342.0,8.2,10.42,21.3,0.68,1.49,54.4,49,🟠 TAVSİYE,T2,1,Yeni iş ilişkisi (Mar 2026),49,Standart+Katalist ✅
2026-03-19,CGCAM,"Cam, Seramik, Porselen",6.0,455.0,286.0,526.0,13.29,27.27,51.3,1.31,1.5,12.7,48,🟠 TAVSİYE,T2,1,Sipariş alınması,48,Standart+Katalist ✅
2026-03-19,HLGYO,Gayrimenkul,20.0,13278.0,8659.0,2830.0,1.49,5.28,71.8,0.36,0.53,32.1,83,🟠 TAVSİYE,,,,46,GYO ÇiftUcuz Katalistsiz: 83×0.55=46
2026-03-19,AYES,İmalat,4.8,1035.0,1161.0,264.0,4.71,22.1,78.7,1.6,2.53,36.8,53,🟠 TAVSİYE,,,,45,Standart Katalistsiz: 53×0.85=45
2026-03-19,THYAO,Ulaştırma,399.5,118208.0,37144.0,158217.0,3.39,3.74,9.4,0.44,0.8,45.0,53,🟠 TAVSİYE,,,,45,Standart Katalistsiz: 53×0.85=45
2026-03-19,GESAN,Enerji Teknolojileri,20.6,903.0,52.0,3749.0,22.76,25.37,10.3,1.51,5.55,72.8,45,🟠 TAVSİYE,T1,8,Çok sayıda ihale sonucu + yeni iş sözleşmeleri (EUPWR ortak),45,Standart+Katalist ✅
2026-03-19,RGYAS,Gayrimenkul,53.2,16306.0,3319.0,8213.0,3.24,15.42,79.0,0.4,1.01,60.4,80,🟠 TAVSİYE,,,,44,GYO ÇiftUcuz Katalistsiz: 80×0.55=44
2026-03-19,INFO,Aracı Kurum,3.3,633.0,9.0,1028.0,5.23,14.72,64.5,1.11,2.11,47.4,51,🟠 TAVSİYE,,,,43,Standart Katalistsiz: 51×0.85=43
2026-03-19,AHSGY,Gayrimenkul,14.8,3124.0,1933.0,390.0,4.77,9.77,51.2,1.62,1.23,-31.7,58,🟠 TAVSİYE,T2,2,Başakşehir Doğu + Prime Tower Maslak arsa ihaleleri,41,GYO+Katalist: 58×0.70=41
2026-03-19,MTRKS,Bilişim ve Yazılım,2.2,241.0,100.0,350.0,8.87,33.15,73.2,2.24,16.64,86.5,48,🟠 TAVSİYE,,,,41,Standart Katalistsiz: 48×0.85=41
2026-03-19,IHGZT,Kağıt ve Kağıt Ürünleri,1.2,231.0,380.0,9.0,4.98,5.01,0.6,0.28,0.54,48.1,48,🟠 TAVSİYE,,,,41,Standart Katalistsiz: 48×0.85=41
2026-03-19,KIMMR,Gıda Perakendeciliği,4.6,650.0,339.0,1188.0,7.01,11.96,41.4,1.04,1.58,34.2,47,🟠 TAVSİYE,,,,40,Standart Katalistsiz: 47×0.85=40
2026-03-19,BNTAS,Ambalaj,1.5,240.0,79.0,191.0,6.32,8.25,23.4,0.98,1.6,38.8,47,🟠 TAVSİYE,,,,40,Standart Katalistsiz: 47×0.85=40
2026-03-19,YEOTK,Enerji Teknolojileri,17.3,1477.0,726.0,3176.0,11.98,30.12,60.2,4.29,14.72,70.9,40,🟠 TAVSİYE,T1,2,2 yeni iş ilişkisi (Şub-Mar 2026),40,Standart+Katalist ✅
2026-03-19,TTKOM,Haberleşme,207.0,22980.0,718.0,99102.0,9.02,15.1,40.3,0.98,1.99,50.8,46,⚪ İZLEME,,,,39,Standart Katalistsiz: 46×0.85=39
2026-03-19,ATATP,Bilişim ve Yazılım,13.8,2053.0,340.0,4003.0,6.63,27.7,76.1,3.09,8.07,61.7,45,⚪ İZLEME,,,,38,Standart Katalistsiz: 45×0.85=38
2026-03-19,GSDDE,Ulaştırma,1.5,187.0,336.0,261.0,7.96,31.83,75.0,0.54,0.75,28.0,45,⚪ İZLEME,,,,38,Standart Katalistsiz: 45×0.85=38
2026-03-19,KATMR,Metal Eşya ve Makine,6.4,662.0,111.0,606.0,9.37,17.86,47.5,0.72,1.35,46.7,44,⚪ İZLEME,,,,37,Standart Katalistsiz: 44×0.85=37
2026-03-19,PGSUS,Ulaştırma,88.8,13750.0,423.0,37096.0,6.49,6.81,4.7,0.76,1.93,60.6,43,⚪ İZLEME,,,,37,Standart Katalistsiz: 43×0.85=37
2026-03-19,SAYAS,Enerji Teknolojileri,3.3,153.0,9.0,363.0,21.86,31.76,31.2,2.73,8.07,66.2,37,⚪ İZLEME,T2,2,Rüzgar enerji sektörü 2 ihale,37,Standart+Katalist ✅
2026-03-19,SRVGY,Gayrimenkul,10.8,3338.0,2991.0,2656.0,3.2,3.61,11.4,0.38,1.13,66.4,65,⚪ İZLEME,,,,36,GYO ÇiftUcuz Katalistsiz: 65×0.55=36
2026-03-19,AKFGY,Gayrimenkul,11.3,2611.0,1147.0,1387.0,4.32,5.33,18.9,0.34,0.58,41.4,64,⚪ İZLEME,,,,35,GYO ÇiftUcuz Katalistsiz: 64×0.55=35
2026-03-19,TUREX,Servis Taşımacılığı ve Araç Kiralama,8.1,608.0,24.0,2110.0,13.71,20.56,33.3,1.13,3.46,67.3,41,⚪ İZLEME,,,,35,Standart Katalistsiz: 41×0.85=35
2026-03-19,PNLSN,İnşaat,3.8,257.0,170.0,379.0,14.73,21.59,31.8,1.26,3.06,58.8,41,⚪ İZLEME,,,,35,Standart Katalistsiz: 41×0.85=35
2026-03-19,ASUZU,Otomotiv,16.7,904.0,551.0,1513.0,18.49,26.83,31.1,1.15,2.43,52.7,41,⚪ İZLEME,,,,35,Standart Katalistsiz: 41×0.85=35
2026-03-19,YUNSA,"Tekstil, Giyim ve Deri",3.9,378.0,51.0,321.0,10.55,14.28,26.1,0.91,1.94,53.1,41,⚪ İZLEME,,,,35,Standart Katalistsiz: 41×0.85=35
2026-03-19,YYLGD,Gıda ve İçecek,12.1,903.0,36.0,2037.0,13.4,17.9,25.1,0.9,2.67,66.3,41,⚪ İZLEME,,,,35,Standart Katalistsiz: 41×0.85=35
2026-03-19,HTTBT,Bilişim ve Yazılım,11.1,388.0,101.0,699.0,28.85,54.21,46.8,3.78,5.64,33.0,34,⚪ İZLEME,T1,1,Basra Airlines havacılık yazılım sözleşmesi,34,Standart+Katalist ✅
2026-03-19,AKSA,Kimya ve Plastik,43.1,4016.0,1322.0,5729.0,10.75,21.14,49.1,1.32,2.32,43.1,39,⚪ İZLEME,,,,33,Standart Katalistsiz: 39×0.85=33
2026-03-19,ARTMS,"Tekstil, Giyim ve Deri",2.8,243.0,71.0,206.0,11.06,16.23,31.9,1.23,1.89,34.9,39,⚪ İZLEME,,,,33,Standart Katalistsiz: 39×0.85=33
2026-03-19,BESTE,Enerji Üretim ve Dağıtım,4.6,190.0,11.0,261.0,23.72,26.01,8.8,1.24,1.36,8.8,33,⚪ İZLEME,T2,2,Enerji yatırım + araç muayene istasyonu,33,Standart+Katalist ✅
2026-03-19,EUPWR,Enerji Teknolojileri,22.8,600.0,-60.0,2368.0,37.97,39.75,4.5,2.16,7.3,70.4,33,⚪ İZLEME,T1,7,Yeni sipariş + çok sayıda ihale (GESAN ortak),33,Standart+Katalist ✅
