kod,sektor,skor,sinyal,fk_iskonto,pddd_iskonto,faal_nk,q_ttm,yg_ciro,uyari,donem,tcmb_faiz,adil_fk
KRSTL,Gıda ve İçecek,73,🟡 FWD,67.9,54.9,126,38,0.3,,Q3_2025,39.5,3.68
TUKAS,Gıda ve İçecek,65,🟡 FWD,11.6,69.3,153,57,4.6,,Q3_2025,39.5,3.68
GOKNR,Gıda ve İçecek,64,🟡 FWD,35.2,59.8,223,7,2.3,R16L,Q3_2025,39.5,3.68
TTKOM,Haberleşme,64,🟡 FWD,34.3,55.3,234,53,1.1,,Q3_2025,39.5,3.68
THYAO,Ulaştırma,63,🟡 FWD,7.9,46.3,78,53,5.7,,Q3_2025,39.5,3.68
GLRYH,Holding,60,🟡 FWD,59.8,80.7,1341,23,4.3,,Q3_2025,39.5,3.68
A1CAP,Aracı Kurum,58,🟠 TAVSİYE,64.4,21.6,336,25,0.0,,Q3_2025,39.5,3.68
PGSUS,Ulaştırma,57,🟠 TAVSİYE,20.2,57.3,103,71,2.0,R16H,Q3_2025,39.5,3.68
EKGYO,Gayrimenkul,56,🟠 TAVSİYE,57.4,43.6,114,1,0.0,,Q3_2025,39.5,3.68
SRVGY,Gayrimenkul,56,🟠 TAVSİYE,36.0,67.9,312,1,0,,Q3_2025,39.5,3.68
ATATP,Bilişim ve Yazılım,55,🟠 TAVSİYE,61.3,50.7,175,27,1.9,,Q3_2025,39.5,3.68
KLSYN,Mobilya ve Dekorasyon,54,🟠 TAVSİYE,34.1,61.5,100,11,4.8,,Q3_2025,39.5,3.68
KUTPO,"Cam, Seramik, Porselen",54,🟠 TAVSİYE,31.9,62.2,137,15,4.9,,Q3_2025,39.5,3.68
ARASE,Enerji Üretim ve Dağıtım,51,🟠 TAVSİYE,25.9,67.1,481,36,0,,Q3_2025,39.5,3.68
ULKER,Gıda ve İçecek,51,🟠 TAVSİYE,43.6,53.9,221,13,10.7,,Q3_2025,39.5,3.68
YUNSA,"Tekstil, Giyim ve Deri",51,🟠 TAVSİYE,8.7,63.3,91,47,3.0,,Q3_2025,39.5,3.68
INFO,Aracı Kurum,49,🟠 TAVSİYE,45.1,36.4,170,80,0.0,R16H,Q3_2025,39.5,3.68
KFEIN,Bilişim ve Yazılım,49,🟠 TAVSİYE,29.8,47.1,79,8,1.3,R16L,Q3_2025,39.5,3.68
BVSAN,İmalat,48,🟠 TAVSİYE,55.3,52.3,120,2,0.7,R16L,Q3_2025,39.5,3.68
MEGAP,Kimya ve Plastik,48,🟠 TAVSİYE,66.0,75.2,114,-12,0.0,,Q3_2025,39.5,3.68
KATMR,Metal Eşya ve Makine,47,🟠 TAVSİYE,29.9,39.9,91,8,7.5,R16L,Q3_2025,39.5,3.68
ISDMR,Ana Metal,47,🟠 TAVSİYE,27.8,41.1,110,15,0.2,,Q3_2025,39.5,3.68
BASGZ,Enerji Üretim ve Dağıtım,46,🟠 TAVSİYE,37.8,68.6,63,5,4.4,R16L,Q3_2025,39.5,3.68
SEGMN,Gıda ve İçecek,46,🟠 TAVSİYE,42.2,32.6,145,10,12.8,R13,Q3_2025,39.5,3.68
TUREX,Servis Taşımacılığı ve Araç Kiralama,46,🟠 TAVSİYE,29.9,64.9,173,43,1.8,,Q3_2025,39.5,3.68
SNGYO,Gayrimenkul,46,🟠 TAVSİYE,27.5,22.4,175,1,0.1,,Q3_2025,39.5,3.68
PENTA,Teknolojik Ürün Ticareti,46,🟠 TAVSİYE,16.2,63.9,435,13,0.1,,Q3_2025,39.5,3.68
GWIND,Enerji Üretim ve Dağıtım,45,🟠 TAVSİYE,10.4,70.5,161,30,0,,Q3_2025,39.5,3.68
TUCLK,Ana Metal,45,🟠 TAVSİYE,8.3,74.3,380,62,2.7,,Q3_2025,39.5,3.68
HLGYO,Gayrimenkul,44,🟠 TAVSİYE,30.2,42.6,277,0,0,,Q3_2025,39.5,3.68
MTRKS,Bilişim ve Yazılım,44,🟠 TAVSİYE,40.1,83.2,97,32,7.6,,Q3_2025,39.5,3.68
YYLGD,Gıda ve İçecek,44,🟠 TAVSİYE,37.2,70.1,133,-12,7.0,,Q3_2025,39.5,3.68
LRSHO,Holding,43,🟠 TAVSİYE,51.1,48.4,58,-7,15.7,,Q3_2025,39.5,3.68
TATGD,Gıda ve İçecek,43,🟠 TAVSİYE,14.5,77.2,148,29,-0.2,,Q3_2025,39.5,3.68
INVEO,Holding,42,🟠 TAVSİYE,43.5,47.4,101,-120,0,,Q3_2025,39.5,3.68
BEGYO,Gayrimenkul,42,🟠 TAVSİYE,37.4,44.0,148,-6,0,,Q3_2025,39.5,3.68
AKSA,Kimya ve Plastik,42,🟠 TAVSİYE,16.5,45.7,144,93,5.9,R16H,Q3_2025,39.5,3.68
MAKTK,Metal Eşya ve Makine,42,🟠 TAVSİYE,36.7,35.8,90,3,22.4,R16L,Q3_2025,39.5,3.68
EUREN,Enerji Üretim ve Dağıtım,41,🟠 TAVSİYE,41.7,53.8,66,19,3.4,,Q3_2025,39.5,3.68
FONET,Bilişim ve Yazılım,41,🟠 TAVSİYE,30.3,92.2,66,39,5.8,,Q3_2025,39.5,3.68
GESAN,Enerji Teknolojileri,41,🟠 TAVSİYE,19.0,76.9,270,27,1.0,,Q3_2025,39.5,3.68
ORGE,Enerji Teknolojileri,41,🟠 TAVSİYE,27.1,54.7,307,21,0.1,,Q3_2025,39.5,3.68
TERA,Aracı Kurum,40,🟠 TAVSİYE,52.8,-27.8,67,41,14.5,,Q3_2025,39.5,3.68
ANELE,İnşaat,39,⚪ İZLEME,27.2,23.6,131,32,0.3,,Q3_2025,39.5,3.68
ENKAI,İnşaat,39,⚪ İZLEME,19.7,-3.3,83,32,19.1,,Q3_2025,39.5,3.68
