kod,sektor,son_fiyat,hedef_final,potansiyel_pct,sinyal,gerceklesme,katalist_tier,katalist_bilgi,makro,nakit_donusum
ESCOM,Bilişim ve Yazılım,5.43,16.29,200.0,🏆 ALTIN,0.6,2,T2 6 yazılım yat.,1.0,ND:0.60
KZBGY,Gayrimenkul,3.12,7.8,150.0,🟢 GÜÇLÜ AL,0.6,0,,0.95,
HLGYO,Gayrimenkul,5.2,11.98,130.4,🟢 GÜÇLÜ AL,0.6,0,,0.95,
SRVGY,Gayrimenkul,3.31,7.4,123.4,🏆 ALTIN,0.6,2,T2 arsa alım,0.95,
VBTYZ,Bilişim ve Yazılım,22.2,43.42,95.6,🏆 ALTIN,0.8,1,T1 SGK+Banka,1.0,ND:0.80✅
A1CAP,Aracı Kurum,15.73,29.92,90.2,🟢 GÜÇLÜ AL,0.4,0,,0.95,
PLTUR,Servis Taşımacılığı ve Araç Kiralama,24.02,44.77,86.4,🏆 ALTIN,0.85,1,T1 Araç kiralama,0.85,ND:0.75✅
RGYAS,Gayrimenkul,160.6,245.62,52.9,🟡 AL,0.6,0,,0.95,
EUHOL,Holding,12.99,19.48,50.0,🟠 TUT,0.4,1,T1 OTTO 50M USD,0.95,
GLRYH,Holding,4.33,6.5,50.0,🟠 TUT,0.2,0,,0.95,
ATATP,Bilişim ve Yazılım,146.8,215.01,46.5,🟠 TUT,0.8,1,T1 EEX+yazılım,1.0,ND:0.85✅
CATES,Enerji Üretim ve Dağıtım,48.78,70.75,45.0,🟠 TUT,1.0,1,T1 EÜAŞ 4Y USD,1.15,ND:0.35
AKFGY,Gayrimenkul,2.89,3.99,38.1,🟠 TUT,0.6,0,,0.95,
MTRKS,Bilişim ve Yazılım,21.7,27.77,28.0,⚪ İZLE,0.45,0,,1.0,ND:0.75✅
OYYAT,Aracı Kurum,64.4,81.75,26.9,⚪ İZLE,0.4,0,,0.95,
MHRGY,Gayrimenkul,3.47,4.24,22.2,⚪ İZLE,0.6,0,,0.95,
ORGE,Enerji Teknolojileri,67.5,81.82,21.2,⚪ İZLE,0.8,1,T1 4 metro/havalimanı,1.1,ND:0.22⚠️
FONET,Bilişim ve Yazılım,4.68,5.55,18.5,⚪ İZLE,1.0,1,T1 5 ihale 743M,1.0,ND:0.80✅
EGEGY,Gayrimenkul,29.0,33.69,16.2,⚪ İZLE,0.55,0,,0.95,
ULKER,Gıda ve İçecek,112.5,130.48,16.0,⚪ İZLE,0.55,0,,1.0,ND:0.65
KIMMR,Gıda Perakendeciliği,19.2,22.24,15.8,⚪ İZLE,0.4,0,,1.0,ND:0.65
AKFIS,İnşaat,39.7,44.91,13.1,⚪ İZLE,0.45,0,,0.95,
BNTAS,Ambalaj,6.25,6.92,10.8,⚪ İZLE,0.35,0,,1.0,ND:0.65
LOGO,Bilişim ve Yazılım,135.0,147.96,9.6,⚪ İZLE,0.55,0,,1.0,ND:0.85✅
KRSTL,Gıda ve İçecek,8.74,9.39,7.4,⚪ İZLE,0.45,0,,1.0,
TTKOM,Haberleşme,59.15,63.42,7.2,⚪ İZLE,0.6,0,,1.0,ND:0.75✅
AHSGY,Gayrimenkul,20.48,21.26,3.8,⚪ İZLE,0.25,0,,0.95,
AYES,İmalat,32.0,32.71,2.2,⚪ İZLE,0.4,0,,0.95,
EUREN,Enerji Üretim ve Dağıtım,4.84,4.9,1.2,⚪ İZLE,0.35,0,,1.15,ND:0.50
MERIT,Turizm,16.15,15.42,-4.5,🔴 SAT,0.55,0,,0.7,ND:0.55
ARASE,Enerji Üretim ve Dağıtım,102.5,94.7,-7.6,🔴 SAT,0.4,0,,1.15,ND:0.45
YUNSA,"Tekstil, Giyim ve Deri",8.21,7.41,-9.7,🔴 SAT,0.45,0,,0.95,ND:0.55
KATMR,Metal Eşya ve Makine,2.98,2.65,-11.0,🔴 SAT,0.8,1,T1 MSB savunma,1.2,ND:0.60
