kod,sektor,son_fiyat,hedef_final,potansiyel_pct,sinyal,gerceklesme,katalist_tier,katalist_bilgi,makro,y1,y2,y3,y4,y5,y5_ref_fk,sek_ort_fk,ref_pddd
HLGYO,Gayrimenkul,5.2,15.63,200.7,🟢 GÜÇLÜ AL,0.6,0,,0.95,47.44,34.73,7.49,5.89,68.64,10.21,12.72,0.53
CATES,Enerji Üretim ve Dağıtım,48.78,146.34,200.0,🏆 ALTIN,1.0,1,T1 EÜAŞ 4Y USD,1.15,531.57,265.79,48.66,,80.77,13.19,18.48,0.63
ESCOM,Bilişim ve Yazılım,5.43,16.29,200.0,🏆 ALTIN,0.6,2,T2 6 yazılım yat.,1.0,54.56,51.56,11.16,,39.97,15.47,16.51,2.37
PLTUR,Servis Taşımacılığı ve Araç Kiralama,24.02,63.38,163.8,🏆 ALTIN,0.85,1,T1 Araç kiralama,0.85,98.45,49.22,52.34,,101.58,9.4,11.1,1.49
SRVGY,Gayrimenkul,3.31,8.71,163.1,🏆 ALTIN,0.6,2,T2 arsa alım,0.95,14.62,15.59,9.52,,21.86,10.21,12.72,1.11
VBTYZ,Bilişim ve Yazılım,22.2,56.66,155.2,🏆 ALTIN,0.8,1,T1 SGK+Banka,1.0,112.54,56.27,22.46,,46.41,15.47,16.51,2.89
A1CAP,Aracı Kurum,15.73,36.17,129.9,🟠 TUT,0.4,0,,0.95,87.96,43.98,22.03,,98.39,6.69,7.6,1.62
ATATP,Bilişim ve Yazılım,146.8,298.98,103.7,🏆 ALTIN,0.8,1,T1 EEX+yazılım,1.0,420.9,210.45,135.76,,448.02,15.47,16.51,2.89
ORGE,Enerji Teknolojileri,67.5,136.54,102.3,🏆 ALTIN,0.8,1,T1 4 metro/havalimanı,1.1,103.52,51.76,99.0,85.0,284.15,12.74,19.71,2.0
AKFIS,İnşaat,39.7,75.73,90.8,🟠 TUT,0.45,0,,0.95,40.89,20.44,27.37,,281.35,8.89,12.97,0.55
KZBGY,Gayrimenkul,3.12,5.04,61.5,🟡 AL,0.6,0,,0.95,5.79,2.9,6.09,,10.64,10.21,12.72,1.11
RGYAS,Gayrimenkul,160.6,256.98,60.0,🟡 AL,0.6,0,,0.95,299.39,149.7,401.78,256.29,403.79,10.21,12.72,1.0
AKFGY,Gayrimenkul,2.89,4.59,58.8,🟡 AL,0.6,0,,0.95,6.77,4.89,4.86,,9.52,10.21,12.72,0.58
ULKER,Gıda ve İçecek,112.5,170.09,51.2,🟠 TUT,0.55,0,,1.0,76.22,38.11,234.5,188.13,513.65,12.88,18.06,2.0
FONET,Bilişim ve Yazılım,4.68,6.96,48.6,🟠 TUT,1.0,1,T1 5 ihale 743M,1.0,10.25,5.12,5.21,,5.13,15.47,16.51,2.89
OYYAT,Aracı Kurum,64.4,93.71,45.5,🟠 TUT,0.4,0,,0.95,171.14,85.57,81.0,,188.37,6.69,7.6,2.0
